// developed as part of  presentation to Qlik Healthcare Dev Group September Gathering 2017-09-14
// johnmackintosh.jm@gmail.com


// preceding load - add a counter for each row
LOAD *,
1 as Counter;


// dummy data  - random numbers/ manual edits etc
SPCData:
LOAD * INLINE [
    ReportPeriod, Numerator, Denominator, Multiplier, Type
    2018-04-01, 2, 377, 100, P
    2018-05-01, 4, 374, 100, P
    2018-06-01, 3, 296, 100, P
    2018-07-01, 2, 336, 100, P
    2018-08-01, 5, 312, 100, P
    2018-09-01, 1, 395, 100, P
    2018-10-01, 3, 373, 100, P
    2018-11-01, 5, 403, 100, P
    2018-12-01, 8, 391, 100, P
    2019-01-01, 6, 389, 100, P
    2019-02-01, 2, 335, 100, P
    2019-03-01, 4, 328, 100, P
    2019-04-01, 8, 369, 100, P
    2019-05-01, 3, 391, 100, P
    2019-06-01, 4, 400, 100, P
    2019-07-01, 3, 326, 100, P
    2019-08-01, 6, 305, 100, P
    2019-09-01, 7, 356, 100, P
    2019-10-01, 4, 321, 100, P
    2019-11-01, 10, 359, 100, P
    2019-12-01, 7, 341, 100, P
    2020-01-01, 3, 317, 100, P
    2020-02-01, 2, 301, 100, P
    2020-03-01, 9, 419, 100, P
    2020-04-01, 4, 296, 100, P
    2020-05-01, 6, 320, 100, P
    2020-06-01, 7, 311, 100, P
    2020-07-01, 10, 365, 100, P
    2020-08-01, 3, 326, 100, P
    2020-09-01, 2, 268, 100, P
    2020-10-01, 9, 367, 100, P
    2020-11-01, 6, 330, 100, P
    2020-12-01, 6, 306, 100, P
    2021-01-01, 6, 330, 100, P
    2021-02-01, 7, 309, 100, P
    2021-03-01, 2, 266, 100, P
    2021-04-01, 4, 289, 100, P
    2021-05-01, 4, 312, 100, P
];

